GAS_ZONES,TIMESERIES,gas_demand_ref_quantity,gas_ref_price
AL,20220622,2475255.85491238,4.63767556802872
AL,20220623,2753091.19401314,4.58469972732387
AL,20220624,2560223.79048714,4.15470916603374
AL,20220625,2666876.79835408,4.32128961007926
AL,20220626,2465223.79966105,4.48787005412477
AL,20220627,2448214.6874181,4.65445049817029
AL,20220628,2191284.74403326,5.20121562877206
AL,20220629,2243135.93278031,5.33870912292381
AL,20220630,2215410.22119286,5.33294870709916
AL,20220701,2172032.61617384,4.79111974126773
AL,20220702,2273947.54023874,4.89238229940862
AL,20220703,2380382.60251025,4.99364485754951
AL,20220704,2406161.81080266,5.09490741569041
AL,20220705,2502130.94249145,5.1961699738313
AL,20220706,2549242.43560087,5.2446355677838
AL,20220707,2662246.50949793,5.52987068953206
AL,20220708,2781915.55254982,6.20305959074426
AL,20220709,2855547.44876086,6.48623868097632
AL,20220710,2487924.48789089,6.76941777120837
AL,20220711,2220536.37401286,7.05259686144042
AL,20220712,2320460.72707219,7.19600366100404
AL,20220713,2345447.89032125,7.21274054567006
AL,20220714,2164087.1758784,7.61294211372627
AL,20220715,2110612.02067324,7.44092567742709
AL,20220716,2294001.08733834,7.82436996537267
AL,20220717,2390931.21162263,8.20781425331825
AL,20220718,2486837.6528718,8.59125854126383
AL,20220719,2299787.32842039,8.2436616352939
AL,20220720,2451420.06330569,8.49062189705228
AL,20220721,2812477.07112699,8.93829253658368
AL,20220722,2408938.91770257,9.21720475021516
AL,20220723,2206613.5628817,9.30545169034206
AL,20220724,2406256.74624186,9.39369863046897
AL,20220725,2478933.85133486,9.48194557059588
AL,20220726,2413953.69379744,10.5144497411974
AL,20220727,2482922.13802503,9.60172099968527
AL,20220728,2613587.10939884,9.70015339058372
AL,20220729,2634643.0797096,9.22259497564891
AL,20220730,2562758.57046395,9.16288467715819
AL,20220731,2386343.38642385,9.10317437866748
AL,20220801,2422083.28459283,9.04346408017677
AL,20220802,2248533.74637737,8.82248880583899
AL,20220803,2293082.62264056,8.59107044528324
AL,20220804,2261355.25957897,9.2281190970046
AL,20220805,2337884.99477634,9.10646174813847
AL,20220806,2525742.70036869,8.89797005402541
AL,20220807,2499964.62769773,8.68947835991235
AL,20220808,2404612.61235915,8.48098666579929
AL,20220809,2296267.19185879,8.59007805614238
AL,20220810,2284607.29640827,8.56806306791322
AL,20220811,2152236.92507931,9.28638922442449
AL,20220812,2197123.68166816,9.4918277808902
AL,20220813,2093562.56825511,9.43985197723983
AL,20220814,2117946.99010831,9.38787617358945
AL,20220815,2312717.26011131,9.33590036993908
AL,20220816,2405728.48659994,10.0194559277973
AL,20220817,2184579.07520858,10.2358498998957
AL,20220818,1890059.01332947,10.1074483658825
AL,20220819,2011626.00112492,9.77651496462884
AL,20220820,2115972.86835484,9.99699872574297
AL,20220821,2239143.21728723,10.2174824868571
AL,20220822,2106880.79089645,10.4379662479712
AL,20220823,1969343.81164293,10.2998654414217
AL,20220824,1999891.16710924,9.76234059078551
AL,20220825,1934869.02213039,9.94194815812585
AL,20220826,1987588.65021832,9.92149584121478
AL,20220827,2229070.79002551,9.80779062281373
AL,20220828,2353346.00068003,9.69408540441269
AL,20220829,2404387.45148845,9.58038018601164
AL,20220830,2500048.23179935,9.405881429175
AL,20220831,2270176.34686145,9.20146353050374
AL,20220901,2122250.88319846,9.6350869820889
AL,20220902,2207055.73387678,9.40032441118751
AL,20220903,2331596.22310728,9.20436027706302
AL,20220904,2292288.24036088,9.00839614293853
AL,20220905,2076173.49409153,8.81243200881403
AL,20220906,2068923.37038276,8.61646787468954
AL,20220907,2111451.37003195,8.1864027578836
AL,20220908,1958308.66463897,8.31170260534951
AL,20220909,1997097.76474405,8.32593327263671
AL,20220910,1884625.50985717,8.26372839975616
AL,20220911,1911785.71776061,8.2015235268756
AL,20220912,2009782.28622794,8.13931865399505
AL,20220913,1688425.72743915,8.40096814233354
AL,20220914,1674779.67102602,8.58199696897225
AL,20220915,1766458.90473695,8.51190214594797
AL,20220916,1829129.2387226,8.1065616274636
AL,20220917,1848115.61905707,8.13631130721615
AL,20220918,1913994.6304836,8.16606098696869
AL,20220919,1923842.3491653,8.19581066672123
AL,20220920,1991245.07947135,8.32911858512525
AL,20220921,2295937.34345726,8.3907540768879
AL,20220922,2398696.71475482,8.23007177453946
AL,20220923,2193040.13772673,7.22991791519917
AL,20220924,1721803.40299,7.30236500160519
AL,20220925,1863017.60214117,7.3748120880112
AL,20220926,1831012.02175123,7.44725917441722
AL,20220927,1764904.69062983,7.61028827037758
AL,20220928,1612432.43630067,7.41572355193473
AL,20220929,1570011.43800744,7.46657107421642
AL,20220930,1554031.35369298,7.34553663445024
AL,20221001,1649600.95748065,7.11964122124546
AL,20221002,1681819.16730656,6.89374580804069
AL,20221003,1692364.60648164,6.66785039483592
AL,20221004,1637243.67967029,6.44745382492976
AL,20221005,1648462.73636113,7.04198457586898
AL,20221006,1702546.32614595,8.41488171370973
AL,20221007,1757621.12884461,7.68666113063759
AL,20221008,1789132.47794508,7.76368604360566
AL,20221009,1668118.60136642,7.84071095657373
AL,20221010,1634125.96002431,7.9177358695418
AL,20221011,1658494.2773555,7.93232406410082
AL,20221012,1728122.31329804,8.52786791106261
AL,20221013,1565643.40360704,8.15575782158123
AL,20221014,1667443.51814924,8.03899794483318
AL,20221015,1666176.08362171,8.03286768767445
AL,20221016,1750404.94343112,8.02673743051571
AL,20221017,1724575.05456074,8.02060717335697
AL,20221018,1701927.78547997,8.09014453658114
AL,20221019,1853183.16974502,7.36132284929022
AL,20221020,1815637.85283806,6.63879944073311
AL,20221021,1743487.43295081,5.76701772591249
AL,20221022,1703310.27962254,5.89504172610596
AL,20221023,1662727.96119684,6.02306572629943
AL,20221024,1690417.97793449,6.1510897264929
AL,20221025,1711950.0586179,6.5821751290343
AL,20221026,1679441.6590892,6.69244356086847
AL,20221027,1666912.5196579,6.68803549825423
AL,20221028,1646863.18504391,6.3066440897886
AL,20221029,1589692.89909325,6.27883074604947
AL,20221030,1572008.77804555,6.25101740231034
AL,20221031,1496476.07561344,6.22320405857122
AL,20221101,1578130.7572674,5.64025100803112
AL,20221102,1614429.96232443,5.62755330428423
AL,20221103,1667939.71716689,5.68825425318173
AL,20221104,1681741.87404537,4.8714466091497
AL,20221105,1653439.27097931,5.09832416624761
AL,20221106,1539166.87570062,5.32520172334552
AL,20221107,1718043.39610576,5.55207928044343
AL,20221108,1799941.31012157,4.78570125794998
AL,20221109,1800559.92956816,4.12129405576165
AL,20221110,1572175.62680345,5.69207550234814
AL,20221111,1569447.81991082,5.6668610424783
AL,20221112,1557343.65357929,6.20105790955425
AL,20221113,1929817.72458193,6.7352547766302
AL,20221114,2269984.03954166,7.26945164370614
AL,20221115,2009156.10477784,6.88991897919948
AL,20221116,1909700.42328492,6.93020590631679
AL,20221117,2158039.72453822,7.37508809156185
AL,20221118,2407429.39266306,7.32338842690993
AL,20221119,2234335.61193863,7.44538031291639
AL,20221120,2191903.50117805,7.56737219892284
AL,20221121,2424956.91784182,7.6893640849293
AL,20221122,2109442.52644688,7.8104604299936
AL,20221123,1775009.85413113,8.26002162003417
AL,20221124,1717275.1920823,8.3369344610493
AL,20221125,1603223.67178735,8.41384730206443
AL,20221126,1591896.15177871,8.24240473075833
AL,20221127,1588802.1727231,8.07096215945222
AL,20221128,1675618.77344314,7.89951958814611
AL,20221129,1729396.57218083,8.01260012387002
AL,20221130,1668724.84876908,9.38773725540407
AL,20221201,1931944.0160231,8.56787903265086
AL,20221202,2055553.18860816,6.72111692139677
AL,20221203,1670260.22715228,6.4235235806168
AL,20221204,1648462.27615441,6.12593023983683
AL,20221205,1698828.3467605,5.82833689905686
AL,20221206,1570768.58640353,6.49185432926117
AL,20221207,1563834.91205179,6.42327280911878
AL,20221208,1564612.07995946,6.91595693340405
AL,20221209,1580319.03716157,7.25692861433945
AL,20221210,1561992.11116313,8.19871280411192
AL,20221211,1536475.65988846,9.14049699388439
AL,20221212,1551004.59458858,10.0822811836569
AL,20221213,1593820.85247259,10.8863673370239
AL,20221214,1607922.68165233,9.98010211508108
AL,20221215,1689118.59907096,10.4730433036398
AL,20221216,2055512.22797644,10.2091882230441
AL,20221217,2090199.25903712,9.92502366554329
AL,20221218,2378050.90300032,9.64085910804251
AL,20221219,2472473.89593369,9.35669455054173
AL,20221220,2415693.2058692,8.1239372429123
AL,20221221,2181695.12869397,9.42989578994936
AL,20221222,2061751.61777315,10.9198976093594
AL,20221223,2688362.29983636,10.9946162366137
AL,20221224,4446556.4318404,10.9924359073652
AL,20221225,3885495.53331393,10.9902555781166
AL,20221226,3216468.59942303,10.9880752488681
AL,20221227,2914051.89294882,7.49806652392979
AL,20221228,2371985.73707416,6.23690892091095
AL,20221229,2062517.16123364,5.80562642078094
AL,20221230,1618378.12242055,5.40522635267739
AL,20221231,1558071.41947651,5.40522635267739
AR,20220101,987502.312603675,5.54488455666112
AR,20220102,1172263.35475149,5.42749388916032
AR,20220103,1524371.59100369,5.31010322165952
AR,20220104,1389115.41563909,5.22045260955826
AR,20220105,1275065.59774786,5.21505766137551
AR,20220106,1195867.72226824,5.35835582483616
AR,20220107,1479268.75253428,5.13454706756931
AR,20220108,1454602.93973432,5.20368602924407
AR,20220109,1134581.13022348,5.27282499091884
AR,20220110,1222003.24352162,5.3419639525936
AR,20220111,1283295.32335854,5.26585731405479
AR,20220112,1205756.38269373,5.7648218408786
AR,20220113,1142204.13462769,5.87949456837391
AR,20220114,1091619.71834946,5.29860738221174
AR,20220115,1151302.02993758,5.29096765992751
AR,20220116,1319161.09726203,5.28332793764329
AR,20220117,1351260.15902138,5.27568821535906
AR,20220118,1247681.30217817,5.52056708699844
AR,20220119,1137746.42352615,5.96287614206286
AR,20220120,1278119.54927457,5.45357886557166
AR,20220121,1635393.98633106,5.06218590116782
AR,20220122,1630481.99138174,5.12523567361602
AR,20220123,1468442.5026546,5.18828544606421
AR,20220124,1228657.65127334,5.25133521851241
AR,20220125,1159565.8037433,5.32796156589948
AR,20220126,1393089.84891521,5.59466067686318
AR,20220127,1460512.74345328,5.6227473915914
AR,20220128,1347741.17697004,7.25825058756498
AR,20220129,1408136.97466141,7.23876001682125
AR,20220130,1342903.21988653,7.21926944607751
AR,20220131,1180789.96122846,7.19977887533378
AR,20220201,1135962.80255437,7.09276886247476
AR,20220202,1039992.12984944,8.76332805012682
AR,20220203,1302715.62925229,7.6768331037083
AR,20220204,1658534.48960474,7.05481317559399
AR,20220205,1596827.10982966,6.68807454633846
AR,20220206,1495137.19692929,6.32133591708292
AR,20220207,1363882.57466214,5.95459728782738
AR,20220208,1315917.9631399,5.79579455116862
AR,20220209,1183985.36993126,5.59460852881514
AR,20220210,1124240.97112367,5.48655636948682
AR,20220211,1134579.63449963,5.52778745252563
AR,20220212,1117178.61300786,5.54961653966476
AR,20220213,1495439.67902694,5.57144562680389
AR,20220214,1345566.05492812,5.59327471394302
AR,20220215,1170751.03548321,5.91418176757146
AR,20220216,1092091.7018213,5.9857895986299
AR,20220217,980873.776197218,6.19173936027196
AR,20220218,1250350.16284317,6.20635969186268
AR,20220219,1426459.66512302,6.12475286859962
AR,20220220,1238996.34483301,6.04314604533656
AR,20220221,1113926.19664504,5.9615392220735
AR,20220222,1000516.81541396,5.87993239881044
AR,20220223,1223087.880973,5.98613636830671
AR,20220224,1622220.39921856,6.19443113445784
AR,20220225,1608305.9675846,5.96202984547029
AR,20220226,1618192.21225129,5.85290321897644
AR,20220227,1520510.30639268,5.74377659248259
AR,20220228,1326390.82320366,5.63464996598874
AR,20220301,1179044.00994108,5.47341321235934
AR,20220302,1101247.59279015,5.80048587667042
AR,20220303,1101486.86543719,5.73894544065923
AR,20220304,1098805.97642755,5.83806789147857
AR,20220305,1057081.86935094,5.87784573183224
AR,20220306,984302.452763566,5.91762357218591
AR,20220307,1083181.06005603,5.95740141253958
AR,20220308,1331748.70513156,5.53542034817436
AR,20220309,1366373.40608426,5.42876225993309
AR,20220310,1229246.12301506,5.51292565348182
AR,20220311,1159710.89721796,5.6429273997937
AR,20220312,1504364.43298957,5.53034848676962
AR,20220313,1500640.18706017,5.41776957374554
AR,20220314,1135490.7077541,5.30519066072146
AR,20220315,1078321.11298587,5.12227602091878
AR,20220316,1042926.5893162,5.6380714391721
AR,20220317,1028091.04783551,6.06572300833558
AR,20220318,1024398.71840366,6.45545601831684
AR,20220319,1096902.70681527,6.73620569472555
AR,20220320,1057545.29813848,7.01695537113427
AR,20220321,1059872.25260452,7.29770504754298
AR,20220322,978716.794278673,8.02406820106856
AR,20220323,1045439.53842885,8.85456119105282
AR,20220324,1194017.26893087,9.16442797658469
AR,20220325,1173523.55504654,10.205782799856
AR,20220326,1058247.74766914,10.7373880018371
AR,20220327,1039083.35600362,11.2689932038182
AR,20220328,1057975.09160353,11.8005984057994
AR,20220329,1019347.48388136,11.9298052622265
AR,20220330,990203.132247757,12.5138267000455
AR,20220331,1049883.47231328,13.4718717964051
AR,20220401,1222767.6842398,14.0537406736659
AR,20220402,1103904.91957665,15.0647328696261
AR,20220403,993186.791037895,16.0757250655864
AR,20220404,984226.779988631,17.0867172615466
AR,20220405,961202.87611527,18.6438855533925
AR,20220406,970931.094244416,20.6741174442873
AR,20220407,970218.557539333,20.858765035698
AR,20220408,1017569.5604056,23.0733573632821
AR,20220409,1189280.55390106,24.2173765010453
AR,20220410,1022975.01421473,25.3613956388084
AR,20220411,1011262.61425325,26.5054147765716
AR,20220412,931685.386860178,28.8538148974256
AR,20220413,1000458.5561342,30.6797099395643
AR,20220414,1003195.73336455,33.434222626831
AR,20220415,981940.870399512,32.359899343335
AR,20220416,968621.91763912,31.285576059839
AR,20220417,927928.248197736,30.211252776343
AR,20220418,1022516.29546685,29.136929492847
AR,20220419,980968.011282886,27.0882047436902
AR,20220420,953393.710309718,24.2299434070319
AR,20220421,898385.455049092,21.883963330712
AR,20220422,977447.370134901,19.592421007218
AR,20220423,1065936.27730488,18.2569304609149
AR,20220424,1047977.66338084,16.9214399146117
AR,20220425,990893.256040696,15.5859493683086
AR,20220426,912897.420844063,15.6344521374271
AR,20220427,931730.563320761,14.6557052077478
AR,20220428,925513.135284902,13.8174116136742
AR,20220429,925312.864612971,12.6740459734442
AR,20220430,1017160.27244883,12.1311339730804
AR,20220501,964050.356774296,11.5882219727166
AR,20220502,971263.549041356,11.0453099723528
AR,20220503,907331.310047447,11.0875714800161
AR,20220504,899210.383213208,10.9714442292098
AR,20220505,895939.208966568,10.4031090741433
AR,20220506,849674.653266841,9.64279434714914
AR,20220507,879032.861891568,8.96206169104974
AR,20220508,930142.775574912,8.28132903495034
AR,20220509,971299.166503876,7.60059637885095
AR,20220510,1273941.84670945,5.97596098524129
AR,20220511,1243848.90655823,6.20352422305963
AR,20220512,1266404.86232012,5.58273450529276
AR,20220513,1303571.34482707,5.57796967007393
AR,20220514,1215242.28708834,5.45277063846294
AR,20220515,1166307.92479042,5.32757160685195
AR,20220516,1084306.09546387,5.20237257524095
AR,20220517,970619.281956109,5.45921826273933
AR,20220518,983376.552692683,5.77992177302267
AR,20220519,1201188.23567896,5.70346302288211
AR,20220520,1284167.32209222,5.67644407015411
AR,20220521,1286995.9796222,5.8719321599655
AR,20220522,1008862.87555901,6.06742024977689
AR,20220523,808802.69602641,6.26290833958829
AR,20220524,823582.27984357,6.97962653198124
AR,20220525,851191.695991337,7.61558469420894
AR,20220526,879659.635979895,7.60097820576511
AR,20220527,821878.451949775,7.0380899165769
AR,20220528,896966.12437568,7.25999549803679
AR,20220529,967815.017134203,7.48190107949668
AR,20220530,1123849.36073536,7.70380666095656
AR,20220531,1194144.62502828,7.92571224241645
AR,20220601,1284783.9327913,8.13531201907124
AR,20220602,1164589.90348877,8.7640269044538
AR,20220603,858999.949959698,8.4198171906407
AR,20220604,920922.468550361,8.90604746941943
AR,20220605,969001.807150038,9.39227774819817
AR,20220606,1025595.65375062,9.8785080269769
AR,20220607,1080093.61527156,10.3508615548039
AR,20220608,1078667.19598833,10.7835872386256
AR,20220609,885247.005338446,9.56675796303842
AR,20220610,1011666.08116072,10.5533959540426
AR,20220611,937647.707536443,10.9214683708926
AR,20220612,1181879.81815704,11.2895407877426
AR,20220613,1602939.3487362,11.6576132045926
AR,20220614,1584527.20959152,10.1988578740366
AR,20220615,1509023.86395122,10.4156774913509
AR,20220616,1443258.21717764,10.7050561853214
AR,20220617,1530013.10314913,10.0814438688324
AR,20220618,1550025.81251775,9.88119679455386
AR,20220619,1315223.77087491,9.68094972027536
AR,20220620,1055150.6068756,9.48070264599686
AR,20220621,1228270.14624269,9.28045557171835
AR,20220622,1445006.97429791,9.57116046203135
AR,20220623,1526861.26252898,9.32369795199677
AR,20220624,1406046.20118122,8.3258962023858
AR,20220625,1473167.29738823,8.52552726468577
AR,20220626,1650510.51491901,8.72515832698573
AR,20220627,1301834.28251025,8.9247893892857
AR,20220628,961987.787180006,9.82760029678661
AR,20220629,955604.924212742,9.94012739608654
AR,20220630,1072143.19839817,9.7844442570949
AR,20220701,1265899.39711146,8.66201331968203
AR,20220702,1379978.26631897,8.7109169690597
AR,20220703,1314755.7077619,8.75982061843736
AR,20220704,1366958.14760281,8.80872426781503
AR,20220705,1586751.31369646,8.8576279171927
AR,20220706,1673622.49979449,8.80972729896621
AR,20220707,1714360.86644601,9.15324718344479
AR,20220708,1803028.03222786,10.1176402554243
AR,20220709,1883572.4380579,10.4140307302027
AR,20220710,1544795.72995797,10.7104212049812
AR,20220711,1223722.52400936,11.0068116797596
AR,20220712,1421601.12696946,11.0666689228876
AR,20220713,1425385.4563915,10.9304720360295
AR,20220714,1410138.95840727,11.3685270726015
AR,20220715,1414938.19534121,10.9494348756321
AR,20220716,1481025.50875287,11.3655310879359
AR,20220717,1689799.54611412,11.7816273002397
AR,20220718,1519782.07731207,12.1977235125434
AR,20220719,1493223.64573344,11.5654155009164
AR,20220720,1821113.67892107,11.7706289543885
AR,20220721,1640317.40740536,12.2442959638724
AR,20220722,1522874.42667286,12.4766380209484
AR,20220723,1517684.49494432,12.4456837149016
AR,20220724,1585581.48155198,12.4147294088549
AR,20220725,1739553.48792968,12.3837751028081
AR,20220726,1768065.35687161,13.5694184021536
AR,20220727,1865296.37503007,12.2445506705021
AR,20220728,1668113.40229922,12.2233840811781
AR,20220729,1402718.28172851,11.483785680722
AR,20220730,1148999.1040941,11.2774761518662
AR,20220731,1046810.58492706,11.0711666230105
AR,20220801,1092419.07217955,10.8648570941547
AR,20220802,1306442.88403338,10.4736824501834
AR,20220803,1466522.06704404,10.0780069305146
AR,20220804,1495610.69432689,10.6969422050512
AR,20220805,1196919.93053515,10.430742210061
AR,20220806,1411180.87075272,10.0780936050287
AR,20220807,1401808.54675145,9.72544499999638
AR,20220808,1459427.96407982,9.37279639496406
AR,20220809,1374837.22331898,9.3807810336367
AR,20220810,1185635.07084614,9.24578157223731
AR,20220811,1194284.24569024,9.90209168236729
AR,20220812,1112914.78421492,10.0011282482975
AR,20220813,1123270.97572314,9.83109015866784
AR,20220814,1100275.80760628,9.66105206903816
AR,20220815,1270237.14338381,9.49101397940848
AR,20220816,1422364.61278467,10.2542387511299
AR,20220817,1180932.90322112,10.5459589221822
AR,20220818,857048.431729545,10.4835067479149
AR,20220819,975685.472116328,10.2082664691096
AR,20220820,1069669.41039805,10.5120724341723
AR,20220821,1213107.2402855,10.8158783992349
AR,20220822,1009796.18186344,11.1196843642976
AR,20220823,990839.715934711,11.0461517124109
AR,20220824,1024795.61975538,10.5398951114142
AR,20220825,1051109.65921824,10.8057946187131
AR,20220826,1127982.73154131,10.8558854061194
AR,20220827,1213211.2838281,10.8022462133985
AR,20220828,1271755.15008891,10.7486070206775
AR,20220829,1338581.59799688,10.6949678279566
