GAS_ZONES,gas_storage_predet_build_year,gas_storage_type,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
KS,2006,depleted field,0,612906.554529205,129474256.311372
KS,2006,salt cavern,0,3422.09999999998,744648.96
KS,2007,depleted field,315917.275533065,0,129790173.586905
KS,2007,salt cavern,0,107453.94,637195.02
KS,2008,depleted field,0,6506428.58690536,123283745
KS,2008,salt cavern,0,248320.02,388875
KS,2009,depleted field,81923,0,123365668
KS,2010,depleted field,3992450,0,127358118
KS,2011,depleted field,37332,0,127395450
KS,2012,depleted field,122366,0,127517816
KS,2013,depleted field,2074,0,127519890
KS,2014,depleted field,10370,0,127530260
KS,2014,salt cavern,0,388875,0
KS,2016,depleted field,2074,0,127532334
KY,1999,aquifer,6372987.76299854,0,6372987.76299854
KY,1999,depleted field,103488874.043646,0,103488874.043646
KY,2000,depleted field,2952.04547049105,0,103491826.089117
KY,2001,aquifer,0,510931.495162526,5862056.26783601
KY,2001,depleted field,713410.988700613,0,104205237.077817
KY,2003,aquifer,510931.495162526,0,6372987.76299854
KY,2003,depleted field,0,275032.236333549,103930204.841484
KY,2004,depleted field,19680.3031365722,0,103949885.14462
KY,2005,depleted field,0,943178.527820051,103006706.6168
KY,2006,depleted field,0,262240.039294779,102744466.577506
KY,2007,depleted field,966794.891583934,0,103711261.46909
KY,2008,aquifer,501285.237001461,0,6874273
KY,2008,depleted field,0,5613135.46908952,98098126
KY,2009,depleted field,2340509,0,100438635
KY,2010,depleted field,4268292,0,104706927
KY,2014,aquifer,0,2084370,4789903
KY,2014,depleted field,2084370,0,106791297
KY,2015,depleted field,0,30073,106761224
KY,2016,depleted field,1037,0,106762261
KY,2017,aquifer,4780570,0,9570473
KY,2017,depleted field,0,4702795,102059466
KY,2022,depleted field,0,52887,102006579
LA,1999,depleted field,312457815.098892,0,312457815.098892
LA,1999,salt cavern,24656895.2956082,0,24656895.2956082
LA,2000,salt cavern,3756152.0839189,0,28413047.3795271
LA,2001,salt cavern,5610770.50162281,0,34023817.8811499
LA,2002,salt cavern,7532096.53830343,0,41555914.4194533
LA,2003,salt cavern,3341245.35489897,0,44897159.7743523
LA,2004,salt cavern,1515215.91675652,0,46412375.6911088
LA,2006,salt cavern,3976800.36207261,0,50389176.0531814
LA,2007,depleted field,0,1988109.79469103,310469705.304201
LA,2007,salt cavern,0,5189266.31578101,45199909.7374004
LA,2008,depleted field,0,15397577.3042006,295072128
LA,2008,salt cavern,14562400.2625996,0,59762310
LA,2009,salt cavern,27850709,0,87613019
LA,2010,salt cavern,16418821,0,104031840
LA,2011,depleted field,1280695,0,296352823
LA,2011,salt cavern,11955573,0,115987413
LA,2012,depleted field,0,76736963,219615860
